
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
A50010040                        U3                                 1   1   3   3   1 8      8 0 DISPLAY_CLK         409601
A50010040                        U3                                 1   1   4   4   1 9      9 0 XSIG010001          4097
A50010040                        U3                                 1   1   5   5   1 3      3 0 XSIG010040          122881
A50010040                        U3                                 1   1   6   6   1 4      4 0 XSIG010041          126977
A50010040                        U3                                 1   1   7   7   1 5      5 0 XSIG010042          131073
A50010040                        U3                                 1   1   8   8   1 6      6 0 XSIG010043          135169
A50010040                        U3                                 1   1   9   9   1 10    10 0 XSIG010044          139265
A50010040                        U3                                 1   1  10  10   1 11    11 0 XSIG010045          143361
A50010040                        U3                                 1   1  11  11   1 12    12 0 XSIG010046          147457
A50010040                        U3                                 1   1  12  12   1 13    13 0 XSIG010009          28673
A50010040                        U3                                 0   6   1   1   2 14    14 1 +3.3V_DC            778241
A50010040                        U3                                 0   7   1   1   3 7      7 1 AGND                724993
A50060003                        U4                                79   1   1   1   1 1      1 0 XSIG010183          499713
A50060003                        U4                                79   1   2   2   1 2      2 0 XSIG010178          491521
A50060003                        U4                                79   1   3   3   1 4      4 0 XSIG010287          782337
A50060003                        U4                                79   1   4   4   1 3      3 0 AGND                724993
A50060003                        U5                                80   1   1   1   1 1      1 0 XSIG010172          475137
A50060003                        U5                                80   1   2   2   1 2      2 0 XSIG010167          466945
A50060003                        U5                                80   1   3   3   1 4      4 0 XSIG010284          774145
A50060003                        U5                                80   1   4   4   1 3      3 0 AGND                724993
