
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
07090601                         R396                             351   1   1   1   1 1      1 0 XSIG070477          150331393
07090601                         R396                             351   1   2   1   1 2      2 0 OCP_Main_A          150380545
07090601                         R397                             350   1   1   1   1 1      1 0 XSIG070495          150401025
07090601                         R397                             350   1   2   1   1 2      2 0 OCP_Main_B          150450177
07090601                         R398                             349   1   1   1   1 1      1 0 XSIG070518          150470657
07090601                         R398                             349   1   2   1   1 2      2 0 OCP_Main_C          150519809
07090601                         R399                             348   1   1   1   1 1      1 0 XSIG080306          150540289
07090601                         R399                             348   1   2   1   1 2      2 0 OCP_DCDC1_P         150585345
07090601                         R400                             347   1   1   1   1 1      1 0 XSIG080322          150605825
07090601                         R400                             347   1   2   1   1 2      2 0 OCP_DCDC2_P         150650881
07090601                         R401                             346   1   1   1   1 1      1 0 XSIG080399          150876161
07090601                         R401                             346   1   2   1   1 2      2 0 OCP_DCDC1_N         150880257
07090601                         R402                             345   1   1   1   1 1      1 0 XSIG080402          150888449
07090601                         R402                             345   1   2   1   1 2      2 0 OCP_DCDC2_N         150892545
07090601                         R403                             360   1   1   1   1 1      1 0 DC1_12V_DSP         153358337
07090601                         R403                             360   1   2   1   1 2      2 0 ADC_B2              153354241
07090601                         R404                             358   1   1   1   1 1      1 0 DC2_12V_DSP         153366529
07090601                         R404                             358   1   2   1   1 2      2 0 ADC_B3              153362433
07090601                         R405                             357   1   1   1   1 1      1 0 XSIG150466          152813569
07090601                         R405                             357   1   2   1   1 2      2 0 ADC_B5              152817665
07090601                         R406                             355   1   1   1   1 1      1 0 XSIG150552          153120769
07090601                         R406                             355   1   2   1   1 2      2 0 ADC_B7              153124865
07090601                         R407                             344   1   1   1   1 1      1 0 UART1_TXD_ISO       153702401
07090601                         R407                             344   1   2   1   1 2      2 0 XSIG170464          153706497
07090601                         R408                             359   1   1   1   1 1      1 0 XSIG150460          152793089
07090601                         R408                             359   1   2   1   1 2      2 0 ADC_B4              152788993
07090601                         R409                             356   1   1   1   1 1      1 0 XSIG150550          153112577
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
07090601                         R409                             356   1   2   1   1 2      2 0 ADC_B6              153108481
07090601                         R559                             370   1   1   1   1 1      1 0 PWM_FAN             152633345
07090601                         R559                             370   1   2   1   1 2      2 0 XSIG140230          152608769
07090603                         R195                             581   1   1   1   1 1      1 0 XSIG100274          151105537
07090603                         R195                             581   1   2   1   1 2      2 0 XSIG100265          151068673
07090603                         R196                             576   1   1   1   1 1      1 0 XSIG100350          151339009
07090603                         R196                             576   1   2   1   1 2      2 0 XSIG100337          151306241
07090603                         R197                             569   1   1   1   1 1      1 0 XSIG110204          151678977
07090603                         R197                             569   1   2   1   1 2      2 0 XSIG110189          151642113
07090603                         R198                             563   1   1   1   1 1      1 0 XSIG120159          151945217
07090603                         R198                             563   1   2   1   1 2      2 0 XSIG120146          151912449
07090603                         R199                             555   1   1   1   1 1      1 0 XSIG130254          152322049
07090603                         R199                             555   1   2   1   1 2      2 0 XSIG130246          152289281
07090603                         R200                             548   1   1   1   1 1      1 0 VBUS_port-_DC2      153051137
07090603                         R200                             548   1   2   1   1 2      2 0 XSIG150528          153034753
07090603                         R201                             527   1   1   1   1 1      1 0 XSIG031096          149155841
07090603                         R201                             527   1   2   1   1 2      2 0 XSIG031097          149159937
07090603                         R202                             547   1   1   1   1 1      1 0 IL_A_fil_DSP        152858625
07090603                         R202                             547   1   2   1   1 2      2 0 XSIG150456          152776705
07090603                         R203                             546   1   1   1   1 1      1 0 IL_B_fil_DSP        152854529
07090603                         R203                             546   1   2   1   1 2      2 0 XSIG150458          152784897
07090603                         R204                             545   1   1   1   1 1      1 0 IL_C_fil_DSP        153042945
07090603                         R204                             545   1   2   1   1 2      2 0 XSIG150514          152989697
07090603                         R205                             541   1   1   1   1 1      1 0 VB_INNER_DC_DSP     152768513
07090603                         R205                             541   1   2   1   1 2      2 0 XSIG150457          152780801
07090603                         R206                             540   1   1   1   1 1      1 0 VA_INNER_DC_DSP     152764417
07090603                         R206                             540   1   2   1   1 2      2 0 XSIG150455          152772609
07090603                         R207                             544   1   1   1   1 1      1 0 VA_PORT_DSP         152862721
07090603                         R207                             544   1   2   1   1 2      2 0 XSIG150474          152842241
07090603                         R208                             543   1   1   1   1 1      1 0 VB_PORT_DSP         152866817
07090603                         R208                             543   1   2   1   1 2      2 0 XSIG150475          152846337
07090603                         R209                             538   1   1   1   1 1      1 0 DC1_Temp_DSP        152875009
07090603                         R209                             538   1   2   1   1 2      2 0 XSIG150485          152883201
07090603                         R210                             539   1   1   1   1 1      1 0 DC2_Temp_DSP        152936449
07090603                         R210                             539   1   2   1   1 2      2 0 XSIG150486          152887297
07090603                         R211                             536   1   1   1   1 1      1 0 TempAmbient_DSP     152973313
07090603                         R211                             536   1   2   1   1 2      2 0 XSIG150506          152961025
07090603                         R212                             537   1   1   1   1 1      1 0 TEMP_AC_DSP         152944641
07090603                         R212                             537   1   2   1   1 2      2 0 XSIG150497          152928257
07090603                         R213                             534   1   1   1   1 1      1 0 VBUS_port+_DC1      153038849
07090603                         R213                             534   1   2   1   1 2      2 0 XSIG150518          152997889
07090603                         R214                             535   1   1   1   1 1      1 0 VBUS_port-_PFC      152981505
07090603                         R214                             535   1   2   1   1 2      2 0 XSIG150516          152993793
07090603                         R215                             533   1   1   1   1 1      1 0 VC_INNER_DC_DSP     152977409
07090603                         R215                             533   1   2   1   1 2      2 0 XSIG150512          152985601
07090603                         R216                             542   1   1   1   1 1      1 0 VC_PORT_DSP         153047041
07090603                         R216                             542   1   2   1   1 2      2 0 XSIG150527          153030657
07090603                         R217                             528   1   1   1   1 1      1 0 XSIG031081          149131265
07090603                         R217                             528   1   2   1   1 2      2 0 REF1.5V             150089729
07090603                         R218                             577   1   1   1   1 1      1 0 XSIG100359          151375873
07090603                         R218                             577   1   2   1   1 2      2 0 XSIG100351          151343105
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
07090603                         R219                             575   1   1   1   1 1      1 0 XSIG100336          151302145
07090603                         R219                             575   1   2   1   1 2      2 0 XSIG100323          151269377
07090603                         R220                             571   1   1   1   1 1      1 0 XSIG110160          151568385
07090603                         R220                             571   1   2   1   1 2      2 0 XSIG110152          151535617
07090603                         R221                             570   1   1   1   1 1      1 0 XSIG110174          151605249
07090603                         R221                             570   1   2   1   1 2      2 0 XSIG110161          151572481
07090603                         R222                             561   1   1   1   1 1      1 0 XSIG120194          152055809
07090603                         R222                             561   1   2   1   1 2      2 0 XSIG120183          152018945
07090603                         R223                             560   1   1   1   1 1      1 0 XSIG120210          152096769
07090603                         R223                             560   1   2   1   1 2      2 0 XSIG120195          152059905
07090603                         R224                             559   1   1   1   1 1      1 0 XSIG120225          152137729
07090603                         R224                             559   1   2   1   1 2      2 0 XSIG120240          152190977
07090603                         R225                             558   1   1   1   1 1      1 0 XSIG120238          152182785
07090603                         R225                             558   1   2   1   1 2      2 0 XSIG120226          152141825
07090603                         R226                             557   1   1   1   1 1      1 0 XSIG130236          152248321
07090603                         R226                             557   1   2   1   1 2      2 0 XSIG130223          152215553
